time	I(Iprim)
1.078799999998381e-06	-17.70864362987916
1.0790000000010513e-06	-17.751995406243033
1.0792000001008661e-06	-17.795277947455222
1.079399999999453e-06	-17.83849124845103
1.0796000000021233e-06	-17.881635304287663
1.0797999999978547e-06	-17.92471011014409
1.080000000000525e-06	-17.967715661320938
1.0802000000031953e-06	-18.01065195324033
1.0803999999989267e-06	-18.053518981445794
1.080600000001597e-06	-18.09631674160212
1.0807999999973283e-06	-18.139045229495235
1.0809999999999986e-06	-18.18170444103209
1.081200000002669e-06	-18.22429437224053
1.0813999999984003e-06	-18.26681501926915
1.0816000000010706e-06	-18.3092663783872
1.0818000001008854e-06	-18.351648445984445
1.0819999999994723e-06	-18.393961218571043
1.0822000000021426e-06	-18.43620469277744
1.082399999997874e-06	-18.478378865354195
1.0826000000005442e-06	-18.52048373317192
1.0828000000032145e-06	-18.56251929322112
1.082999999998946e-06	-18.604485542612064
1.0832000000016162e-06	-18.646382478574697
1.0833999999973476e-06	-18.68821009845848
1.0836000000000179e-06	-18.72996839973228
1.0838000000026882e-06	-18.77165737998427
1.0839999999984196e-06	-18.813277036921768
1.0842000000010898e-06	-18.85482736837115
1.0844000001009046e-06	-18.896308372277694
1.0845999999994915e-06	-18.937720046705497
1.0848000000021618e-06	-18.979062389837317
1.0849999999978932e-06	-19.020335399974456
1.0852000000005635e-06	-19.06153907553669
1.0854000000032338e-06	-19.10267341506206
1.0855999999989652e-06	-19.143738417206823
1.0858000000016355e-06	-19.18473408074531
1.0859999999973668e-06	-19.225660404569776
1.0862000000000371e-06	-19.266517387690325
1.0864000000027074e-06	-19.307305029234747
1.0865999999984388e-06	-19.348023328448438
1.086800000001109e-06	-19.388672284694238
1.087000000100924e-06	-19.429251897452335
1.0871999999995108e-06	-19.46976216632016
1.087400000002181e-06	-19.510203091012222
1.0875999999979125e-06	-19.550574671360017
1.0878000000005827e-06	-19.59087690731191
1.088000000003253e-06	-19.631109798933
1.0881999999989844e-06	-19.671273346404995
1.0884000000016547e-06	-19.71136755002613
1.088599999997386e-06	-19.751392410211
1.0888000000000564e-06	-19.791347927490463
1.0890000000027267e-06	-19.831234102511523
1.089199999998458e-06	-19.8710509360372
1.0894000000011284e-06	-19.9107984289464
1.0896000001009432e-06	-19.950476582233843
1.08979999999953e-06	-19.990085397009874
1.0900000000022003e-06	-20.0296248745004
1.0901999999979317e-06	-20.069095016046735
1.090400000000602e-06	-20.108495823105503
1.0906000000032723e-06	-20.14782729724851
1.0907999999990037e-06	-20.187089440162605
1.091000000001674e-06	-20.2262822536496
1.0911999999974054e-06	-20.26540573962611
1.0914000000000756e-06	-20.30445990012347
1.091600000002746e-06	-20.343444737287587
1.0917999999984773e-06	-20.382360253378835
1.0920000000011476e-06	-20.421206450771933
1.092200000003818e-06	-20.459983331955815
1.0923999999995493e-06	-20.49869089953353
1.0926000000022196e-06	-20.537329156222103
1.092799999997951e-06	-20.575898104852428
1.0930000000006213e-06	-20.614397748369143
1.0932000000032915e-06	-20.65282808983053
1.093399999999023e-06	-20.691189132408347
1.0936000000016932e-06	-20.729480879387754
1.0937999999974246e-06	-20.76770333416719
1.094000000000095e-06	-20.805856500258226
1.0942000000027652e-06	-20.84394038128548
1.0943999999984966e-06	-20.881954980986457
1.0946000000011669e-06	-20.919900303211463
1.0948000000038371e-06	-20.957776351923485
1.0949999999995685e-06	-20.99558313119805
1.0952000000022388e-06	-21.033320645223117
1.0953999999979702e-06	-21.07098889829896
1.0956000000006405e-06	-21.108587894838045
1.0958000000033108e-06	-21.146117639364924
1.0959999999990422e-06	-21.183578136516086
1.0962000000017125e-06	-21.220969391039866
1.0963999999974439e-06	-21.25829140779629
1.0966000000001142e-06	-21.295544191757024
1.0968000000027844e-06	-21.33272774800517
1.0969999999985158e-06	-21.369842081735214
1.0972000000011861e-06	-21.406887198252864
1.0974000000038564e-06	-21.44386310297494
1.0975999999995878e-06	-21.48076980142928
1.097800000002258e-06	-21.5176072992546
1.0979999999979895e-06	-21.55437560220034
1.0982000000006598e-06	-21.591074716126627
1.09840000000333e-06	-21.627704647004077
1.0985999999990614e-06	-21.664265400913703
1.0988000000017317e-06	-21.700756984046826
1.0989999999974631e-06	-21.73717940270492
1.0992000000001334e-06	-21.773532663299463
1.0994000000028037e-06	-21.80981677235191
1.099599999998535e-06	-21.846031736493476
1.0998000000012054e-06	-21.882177562465078
1.1000000000038757e-06	-21.91825425711718
1.100199999999607e-06	-21.954261827409702
1.1004000000022773e-06	-21.99020028041189
1.1005999999980087e-06	-22.02606962330218
1.100800000000679e-06	-22.061869863368088
1.1010000001004938e-06	-22.09760100800609
1.1011999999990807e-06	-22.13326306472153
1.101400000001751e-06	-22.168856041128457
1.1015999999974824e-06	-22.20437994494951
1.1018000000001527e-06	-22.239834784015834
1.102000000002823e-06	-22.275220566266917
1.1021999999985543e-06	-22.31053729975049
1.1024000000012246e-06	-22.34578499262243
1.102600000003895e-06	-22.38096365314659
1.1027999999996263e-06	-22.41607328969472
1.1030000000022966e-06	-22.451113910746315
1.103199999998028e-06	-22.486085524888527
1.1034000000006983e-06	-22.520988140816012
1.103600000100513e-06	-22.55582176733085
1.1037999999991e-06	-22.590586413342383
1.1040000000017702e-06	-22.62528208786712
1.1041999999975016e-06	-22.65990880002859
1.104400000000172e-06	-22.694466559057265
1.1046000000028422e-06	-22.728955374290408
1.1047999999985736e-06	-22.76337525517196
1.1050000000012439e-06	-22.797726211252407
1.1052000000039142e-06	-22.83200825218869
1.1053999999996456e-06	-22.866221387744044
1.1056000000023158e-06	-22.90036562778792
1.1057999999980472e-06	-22.934440982295826
1.1060000000007175e-06	-22.968447461349232
1.1062000001005323e-06	-23.002385075135443
1.1063999999991192e-06	-23.036253833947463
1.1066000000017895e-06	-23.070053748183906
1.1067999999975209e-06	-23.10378482834882
1.1070000000001912e-06	-23.137447085051647
1.1072000000028615e-06	-23.171040529007026
1.1073999999985928e-06	-23.20456517103472
1.1076000000012631e-06	-23.238021022059456
1.1078000000039334e-06	-23.271408093110853
1.1079999999996648e-06	-23.304726395323243
1.108200000002335e-06	-23.337975939935603
1.1083999999980665e-06	-23.371156738291397
1.1086000000007368e-06	-23.404268801838477
1.1088000001005516e-06	-23.43731214212894
1.1089999999991385e-06	-23.470286770819047
1.1092000000018087e-06	-23.503192699669043
1.1093999999975401e-06	-23.53602994054308
1.1096000000002104e-06	-23.56879850540908
1.1098000000028807e-06	-23.60149840633862
1.109999999998612e-06	-23.634129655506804
1.1102000000012824e-06	-23.666692265192136
1.1104000000039527e-06	-23.69918624777642
1.110599999999684e-06	-23.731611615744608
